Country Name,Country Code,UHC2017,CPI2017,GCDBHOSPITALS2019,CCIURB151617,CCIRUR151617,REGION,GDP2017,HDI2017,COCWB2017,COCWB2018,SDG32017
Haiti,HTI,49,22,,58.7,44.9,AME,8409497402,0.501,-1.238204,-1.265189,30.25
Honduras,HND,65,29,0.15,,,AME,23100748922,0.621,-0.7176982,-0.6164857,51.65
Hungary,HUN,74,45,,,,WE/EU,1.42E+11,0.841,0.0892915,0.053347,68.05
Iceland,ISL,84,77,,,,WE/EU,24489493459,0.935,1.838121,1.843649,86.48333333
India,IND,55,40,,77.3,69.2,AP,2.65E+12,0.643,-0.2398077,-0.186293,39.7
Indonesia,IDN,57,37,,,,AP,1.02E+12,0.704,-0.2527087,-0.2515447,41.81666667
"Iran, Islamic Rep.",IRN,72,30,,,,MENA,4.54E+11,0.799,-0.8116927,-0.9588165,64.48333333
Iraq,IRQ,61,18,,,,MENA,1.95E+11,0.684,-1.372133,-1.399408,36.66666667
Ireland,IRL,76,74,,,,WE/EU,3.35E+11,0.939,1.548565,1.547376,75.53333333
Israel,ISR,82,62,,,,MENA,3.53E+11,0.904,0.8267115,0.7865694,82.13333333
Italy,ITA,82,50,,,,WE/EU,1.96E+12,0.881,0.1885998,0.2356188,77.88333333
Jamaica,JAM,65,44,0.08,,,AME,14806340821,0.725,-0.1725084,-0.1643905,65.56666667
Japan,JPN,83,73,,,,AP,4.86E+12,0.913,1.522429,1.424772,74.16666667
Jordan,JOR,76,48,0.01,,,MENA,40708943662,0.722,0.2597678,0.1495421,65.15
Kazakhstan,KAZ,76,31,,,,ECA,1.67E+11,0.813,-0.8209888,-0.5017262,56.71666667
Kenya,KEN,55,28,0.18,,,SSA,78757391333,0.574,-0.9537179,-0.8520129,32.23333333
"Korea, Rep.",KOR,86,54,,,,AP,1.53E+12,0.904,0.4808298,0.6041095,73.16666667
Kuwait,KWT,76,39,,,,MENA,1.21E+11,0.809,-0.3315037,-0.2894283,59.61666667
